DesignName,ParticipantID,TrialID,BlockID,Condition,Grid
Preattentive,1,1,1,Taille,5
Preattentive,1,2,2,Courbure,5
Preattentive,2,3,1,Courbure,5
Preattentive,2,4,2,Taille,5
Preattentive,3,5,1,Taille,5
Preattentive,3,6,2,Courbure,5
Preattentive,4,7,1,Courbure,5
Preattentive,4,8,2,Taille,5
Preattentive,5,9,1,Taille,5
Preattentive,5,10,2,Courbure,5
Preattentive,6,11,1,Courbure,5
Preattentive,6,12,2,Taille,5
Preattentive,7,13,1,Taille,5
Preattentive,7,14,2,Courbure,5
Preattentive,8,15,1,Courbure,5
Preattentive,8,16,2,Taille,5
Preattentive,9,17,1,Taille,5
Preattentive,9,18,2,Courbure,5
Preattentive,10,19,1,Courbure,5
Preattentive,10,20,2,Taille,5
Preattentive,11,21,1,Taille,5
Preattentive,11,22,2,Courbure,5
Preattentive,12,23,1,Courbure,5
Preattentive,12,24,2,Taille,5
Preattentive,13,25,1,Taille,5
Preattentive,13,26,2,Courbure,5
Preattentive,14,27,1,Courbure,5
Preattentive,14,28,2,Taille,5
Preattentive,15,29,1,Taille,5
Preattentive,15,30,2,Courbure,5
Preattentive,16,31,1,Courbure,5
Preattentive,16,32,2,Taille,5
Preattentive,17,33,1,Taille,5
Preattentive,17,34,2,Courbure,5
Preattentive,18,35,1,Courbure,5
Preattentive,18,36,2,Taille,5
